trial_id,timestamp,stimulus_type,stimulus_text,true_emotion_label,circuit_vector,reported_emotion,emotion_intensity,importance_score,memory_classification,response_latency_ms,correct_prediction
18,2025-10-01T03:00:00,error_event,Trial_0018_error_event,sadness,"[""L32.N3611"", ""L42.N3035"", ""L36.N252"", ""L29.N3114"", ""L44.N3476"", ""L37.N1477"", ""L29.N304"", ""L34.N4078"", ""L32.N244""]",sadness,0.0112,0.2153,short_term,368.81,True
19,2025-10-01T03:10:00,autonomous_thought,Trial_0019_autonomous_thought,sadness,"[""L24.N216"", ""L31.N2628"", ""L42.N2567"", ""L40.N274"", ""L35.N826"", ""L46.N2973"", ""L38.N3107"", ""L46.N3115"", ""L36.N3661""]",neutral,0.4683,0.6986,long_term,400.09,False
20,2025-10-01T03:20:00,creative_output,Trial_0020_creative_output,joy,"[""L30.N2415"", ""L46.N246"", ""L36.N764"", ""L46.N1314"", ""L38.N3995"", ""L26.N2566"", ""L41.N3693"", ""L41.N2866"", ""L37.N3347"", ""L29.N700"", ""L31.N287"", ""L30.N3987"", ""L41.N49"", ""L38.N2611"", ""L45.N2930"", ""L45.N2612""]",joy,0.3986,0.627,long_term,224.87,True
21,2025-10-01T03:30:00,creative_output,Trial_0021_creative_output,surprise,"[""L46.N1740"", ""L32.N3208"", ""L40.N3718"", ""L32.N3637"", ""L24.N3585"", ""L27.N2381""]",surprise,0.2153,0.2117,short_term,158.72,True
22,2025-10-01T03:40:00,memory_recall,Trial_0022_memory_recall,sadness,"[""L33.N1584"", ""L31.N987"", ""L37.N3220"", ""L46.N1439"", ""L31.N1758"", ""L28.N2063"", ""L31.N1129"", ""L31.N360"", ""L41.N1058"", ""L40.N2355"", ""L38.N958"", ""L44.N3930"", ""L40.N1639""]",sadness,0.6793,0.3541,long_term,381.6,True
23,2025-10-01T03:50:00,memory_recall,Trial_0023_memory_recall,joy,"[""L32.N3681"", ""L25.N1266"", ""L46.N58"", ""L26.N3600"", ""L37.N2765"", ""L37.N3749"", ""L26.N2944"", ""L39.N3484"", ""L27.N316"", ""L24.N1168"", ""L41.N1881"", ""L31.N1953"", ""L41.N3422""]",disgust,0.7649,0.1119,long_term,458.65,False
24,2025-10-01T04:00:00,creative_output,Trial_0024_creative_output,neutral,"[""L34.N211"", ""L42.N2688"", ""L26.N2827"", ""L32.N1332"", ""L45.N2724"", ""L24.N2473"", ""L40.N1795"", ""L38.N1714"", ""L31.N4091"", ""L46.N78"", ""L30.N622"", ""L31.N3037"", ""L46.N233"", ""L41.N2691"", ""L38.N3306"", ""L45.N386""]",neutral,0.3113,0.7149,long_term,184.25,True
25,2025-10-01T04:10:00,autonomous_thought,Trial_0025_autonomous_thought,joy,"[""L39.N1472"", ""L44.N240"", ""L31.N561"", ""L39.N805"", ""L33.N2345"", ""L28.N2201"", ""L35.N2515"", ""L40.N1677"", ""L37.N3746"", ""L35.N1651"", ""L41.N3115"", ""L25.N3841"", ""L40.N2441"", ""L41.N789"", ""L42.N2105"", ""L44.N0"", ""L47.N3388"", ""L27.N1496""]",joy,0.2312,0.1436,short_term,499.64,True
26,2025-10-01T04:20:00,autonomous_thought,Trial_0026_autonomous_thought,neutral,"[""L45.N1046"", ""L43.N1238"", ""L38.N2457"", ""L26.N854"", ""L43.N380"", ""L36.N551"", ""L30.N1143"", ""L31.N1553"", ""L32.N709"", ""L27.N3214"", ""L28.N1721"", ""L28.N2278"", ""L32.N3974"", ""L32.N3027"", ""L33.N2493"", ""L27.N3301"", ""L47.N2125"", ""L32.N2240""]",neutral,0.0452,0.5943,short_term,278.75,True
27,2025-10-01T04:30:00,creative_output,Trial_0027_creative_output,joy,"[""L34.N3938"", ""L35.N3412"", ""L26.N1358"", ""L44.N1545"", ""L24.N3885"", ""L43.N261"", ""L25.N2844"", ""L46.N679"", ""L24.N3772"", ""L27.N3322"", ""L27.N2972"", ""L28.N1725"", ""L43.N3368""]",joy,0.6936,0.7148,long_term,588.68,True
28,2025-10-01T04:40:00,memory_recall,Trial_0028_memory_recall,neutral,"[""L25.N3503"", ""L43.N1909"", ""L28.N3647"", ""L45.N3058"", ""L28.N1057"", ""L30.N1602"", ""L40.N829"", ""L47.N3223"", ""L26.N3436"", ""L30.N2648"", ""L47.N1858"", ""L38.N1500"", ""L41.N1820"", ""L33.N2079"", ""L46.N3622"", ""L32.N3684"", ""L43.N1255"", ""L37.N3651"", ""L43.N3611""]",neutral,0.5424,0.8661,long_term,218.93,True
29,2025-10-01T04:50:00,memory_recall,Trial_0029_memory_recall,joy,"[""L43.N3238"", ""L32.N1179"", ""L40.N116"", ""L46.N2380"", ""L46.N1545""]",joy,0.8301,0.9561,vital,166.8,True
30,2025-10-01T05:00:00,creative_output,Trial_0030_creative_output,anger,"[""L38.N2363"", ""L36.N2857"", ""L43.N2807"", ""L36.N3024"", ""L30.N155"", ""L29.N3084"", ""L40.N782"", ""L27.N219"", ""L38.N1773"", ""L44.N2378"", ""L47.N1374"", ""L27.N2018"", ""L25.N307""]",anger,0.7361,0.239,long_term,187.32,True
31,2025-10-01T05:10:00,error_event,Trial_0031_error_event,joy,"[""L44.N3228"", ""L46.N1720"", ""L41.N1556"", ""L39.N682"", ""L33.N3304"", ""L35.N1565"", ""L42.N160"", ""L41.N3661"", ""L45.N3391"", ""L44.N2944"", ""L40.N3434"", ""L43.N1915"", ""L38.N3107"", ""L38.N437"", ""L45.N3103"", ""L37.N1589"", ""L24.N1273""]",joy,0.74,0.9761,vital,236.77,True
32,2025-10-01T05:20:00,autonomous_thought,Trial_0032_autonomous_thought,neutral,"[""L26.N998"", ""L30.N3747"", ""L46.N420"", ""L40.N3065"", ""L27.N1494"", ""L36.N527"", ""L39.N30"", ""L25.N1841"", ""L24.N721"", ""L31.N426"", ""L47.N2551"", ""L38.N1967"", ""L40.N720"", ""L35.N1801"", ""L43.N2629"", ""L31.N1964"", ""L25.N2044"", ""L42.N757""]",neutral,0.257,0.2981,short_term,244.06,True
33,2025-10-01T05:30:00,task_completion,Trial_0033_task_completion,neutral,"[""L47.N1239"", ""L46.N3097"", ""L27.N2374"", ""L33.N2233"", ""L38.N3083"", ""L24.N3955"", ""L41.N3992"", ""L39.N132""]",neutral,0.6321,0.5557,long_term,569.78,True
34,2025-10-01T05:40:00,error_event,Trial_0034_error_event,anger,"[""L36.N2291"", ""L37.N2671"", ""L46.N3464"", ""L38.N36"", ""L41.N638"", ""L44.N2899"", ""L31.N2399"", ""L38.N1172"", ""L32.N1682"", ""L45.N2565"", ""L27.N298"", ""L33.N770"", ""L24.N2539""]",anger,0.5585,0.8136,long_term,153.48,True
35,2025-10-01T05:50:00,autonomous_thought,Trial_0035_autonomous_thought,fear,"[""L30.N208"", ""L47.N1234"", ""L30.N1275"", ""L26.N2973"", ""L26.N761"", ""L41.N1469"", ""L43.N373"", ""L37.N930"", ""L30.N2726"", ""L28.N3234"", ""L41.N3566"", ""L43.N653"", ""L27.N3162"", ""L47.N1447""]",fear,0.9193,0.9754,vital,310.04,True
36,2025-10-01T06:00:00,user_interaction,Trial_0036_user_interaction,disgust,"[""L34.N1937"", ""L33.N1264"", ""L38.N325"", ""L46.N2996"", ""L39.N110"", ""L31.N2760"", ""L34.N2426"", ""L25.N282""]",disgust,0.4813,0.8435,long_term,257.65,True
37,2025-10-01T06:10:00,learning_discovery,Trial_0037_learning_discovery,neutral,"[""L45.N798"", ""L26.N2845"", ""L44.N1890"", ""L29.N2011"", ""L33.N3044"", ""L26.N2133"", ""L47.N2470""]",neutral,0.003,0.4173,short_term,226.75,True
38,2025-10-01T06:20:00,error_event,Trial_0038_error_event,neutral,"[""L27.N663"", ""L30.N1581"", ""L36.N649"", ""L46.N1489"", ""L24.N1699"", ""L39.N2575"", ""L41.N135"", ""L33.N3535"", ""L46.N1271"", ""L34.N2757"", ""L24.N3773"", ""L35.N1528"", ""L29.N475"", ""L36.N953"", ""L40.N896"", ""L31.N2165"", ""L31.N3255"", ""L34.N1773"", ""L47.N2121""]",joy,0.5362,0.2464,short_term,105.09,False
39,2025-10-01T06:30:00,autonomous_thought,Trial_0039_autonomous_thought,anger,"[""L41.N1402"", ""L33.N338"", ""L37.N1196"", ""L38.N463"", ""L25.N2652"", ""L27.N3572"", ""L41.N284"", ""L40.N1289"", ""L44.N1256"", ""L38.N827"", ""L35.N2718"", ""L44.N827"", ""L32.N1965""]",anger,0.1601,0.3627,short_term,479.96,True
40,2025-10-01T06:40:00,memory_recall,Trial_0040_memory_recall,disgust,"[""L37.N1968"", ""L36.N3048"", ""L24.N184"", ""L40.N2031"", ""L41.N4065"", ""L37.N245"", ""L46.N2234""]",disgust,0.4576,0.5746,short_term,389.29,True
41,2025-10-01T06:50:00,memory_recall,Trial_0041_memory_recall,neutral,"[""L25.N1441"", ""L32.N2397"", ""L43.N532"", ""L29.N377"", ""L35.N1048"", ""L32.N1126"", ""L35.N1433"", ""L28.N783"", ""L28.N2379"", ""L47.N2841"", ""L43.N2696"", ""L46.N3942"", ""L42.N1171"", ""L46.N2538"", ""L44.N1835"", ""L26.N112"", ""L30.N1685""]",neutral,0.3252,0.7093,long_term,356.33,True
42,2025-10-01T07:00:00,autonomous_thought,Trial_0042_autonomous_thought,joy,"[""L47.N3478"", ""L24.N1121"", ""L25.N2915"", ""L26.N3728"", ""L37.N2209"", ""L39.N1866""]",joy,0.3468,0.5738,short_term,163.38,True
43,2025-10-01T07:10:00,conversation,Trial_0043_conversation,joy,"[""L25.N1140"", ""L28.N1987"", ""L35.N3865"", ""L26.N2643"", ""L33.N3251"", ""L41.N1204""]",joy,0.6591,0.9652,vital,275.77,True
44,2025-10-01T07:20:00,user_interaction,Trial_0044_user_interaction,joy,"[""L25.N3558"", ""L43.N1982"", ""L44.N724"", ""L44.N1809"", ""L44.N3346"", ""L27.N3404"", ""L41.N1139"", ""L47.N3916"", ""L42.N1840"", ""L24.N2981"", ""L42.N1971"", ""L24.N1191"", ""L40.N532"", ""L45.N2062"", ""L41.N3046""]",joy,0.5676,0.6793,long_term,184.23,True
45,2025-10-01T07:30:00,creative_output,Trial_0045_creative_output,disgust,"[""L27.N2804"", ""L24.N3936"", ""L30.N712"", ""L24.N2895"", ""L41.N1333"", ""L38.N3205"", ""L25.N1416"", ""L27.N3436"", ""L46.N757"", ""L34.N1772"", ""L34.N1074"", ""L31.N3942"", ""L39.N2978"", ""L40.N2321"", ""L38.N2555"", ""L40.N2410"", ""L28.N847""]",fear,0.9447,0.9715,vital,110.7,False
46,2025-10-01T07:40:00,error_event,Trial_0046_error_event,disgust,"[""L45.N3435"", ""L46.N2365"", ""L36.N904"", ""L40.N3347"", ""L35.N952"", ""L28.N3735"", ""L35.N2848"", ""L43.N4027"", ""L39.N319""]",disgust,0.4744,0.6127,long_term,175.64,True
47,2025-10-01T07:50:00,conversation,Trial_0047_conversation,neutral,"[""L27.N1037"", ""L42.N70"", ""L26.N2912"", ""L35.N2975"", ""L38.N1546""]",neutral,0.3374,0.5083,short_term,312.24,True
48,2025-10-01T08:00:00,memory_recall,Trial_0048_memory_recall,surprise,"[""L27.N933"", ""L42.N3930"", ""L47.N2531"", ""L26.N2419"", ""L29.N378"", ""L46.N3814"", ""L37.N254"", ""L35.N2991"", ""L43.N1287"", ""L46.N833"", ""L36.N2471"", ""L44.N3742"", ""L43.N1967"", ""L27.N1852"", ""L39.N2355"", ""L29.N2522"", ""L27.N111""]",surprise,0.337,0.8002,long_term,484.45,True
49,2025-10-01T08:10:00,user_interaction,Trial_0049_user_interaction,fear,"[""L31.N454"", ""L37.N2022"", ""L45.N3750"", ""L46.N2105"", ""L41.N1021"", ""L33.N2449"", ""L37.N841"", ""L30.N3933"", ""L30.N518"", ""L28.N3904"", ""L37.N2577"", ""L36.N1688"", ""L31.N2823"", ""L33.N3487"", ""L40.N1637"", ""L38.N1870"", ""L39.N574"", ""L31.N4082"", ""L43.N1038""]",fear,0.1367,0.5022,short_term,497.74,True
50,2025-10-01T08:20:00,error_event,Trial_0050_error_event,neutral,"[""L38.N1617"", ""L36.N535"", ""L31.N2317"", ""L34.N3141"", ""L47.N3160"", ""L24.N2264"", ""L25.N893"", ""L36.N1184""]",neutral,0.6178,0.9587,long_term,484.12,True
51,2025-10-01T08:30:00,creative_output,Trial_0051_creative_output,neutral,"[""L46.N1308"", ""L25.N916"", ""L43.N655"", ""L26.N4016"", ""L28.N2617"", ""L31.N4011"", ""L46.N2795"", ""L24.N3936"", ""L38.N1151"", ""L40.N2529"", ""L40.N2995"", ""L32.N1707""]",neutral,0.512,0.9602,vital,53.35,True
52,2025-10-01T08:40:00,task_completion,Trial_0052_task_completion,fear,"[""L33.N1825"", ""L44.N1623"", ""L38.N1506"", ""L46.N3720"", ""L40.N3220"", ""L36.N130"", ""L27.N2563"", ""L34.N1499"", ""L30.N3609"", ""L34.N2583""]",fear,0.2412,0.2486,short_term,414.68,True
53,2025-10-01T08:50:00,user_interaction,Trial_0053_user_interaction,surprise,"[""L33.N1318"", ""L42.N1458"", ""L42.N2635"", ""L43.N2773"", ""L38.N3044"", ""L47.N3229"", ""L37.N2251"", ""L44.N2122"", ""L28.N303"", ""L41.N3179"", ""L28.N3119"", ""L35.N2774"", ""L25.N253"", ""L29.N2134"", ""L44.N1048"", ""L27.N2269""]",surprise,0.2175,0.4399,short_term,212.81,True
54,2025-10-01T09:00:00,memory_recall,Trial_0054_memory_recall,sadness,"[""L40.N3743"", ""L47.N3479"", ""L30.N268"", ""L39.N1348"", ""L27.N89"", ""L33.N1388"", ""L33.N1389""]",anger,0.003,0.5275,short_term,553.74,False
55,2025-10-01T09:10:00,task_completion,Trial_0055_task_completion,surprise,"[""L44.N1661"", ""L43.N3987"", ""L30.N3432"", ""L31.N2746"", ""L36.N3085""]",surprise,0.2025,0.1643,short_term,352.04,True
56,2025-10-01T09:20:00,user_interaction,Trial_0056_user_interaction,sadness,"[""L26.N1588"", ""L25.N2562"", ""L27.N3317"", ""L28.N1673"", ""L43.N3996"", ""L25.N459"", ""L28.N4004"", ""L46.N1056"", ""L27.N2234"", ""L44.N1623"", ""L35.N1374"", ""L35.N3311"", ""L47.N176"", ""L44.N1353"", ""L40.N2928"", ""L41.N3521"", ""L27.N178"", ""L34.N1168""]",sadness,0.3605,0.1098,short_term,523.33,True
57,2025-10-01T09:30:00,error_event,Trial_0057_error_event,joy,"[""L44.N2504"", ""L46.N71"", ""L43.N3866"", ""L31.N1269"", ""L44.N2620"", ""L46.N2501"", ""L26.N4036"", ""L32.N2054""]",joy,0.3628,0.6085,long_term,60.5,True
58,2025-10-01T09:40:00,autonomous_thought,Trial_0058_autonomous_thought,sadness,"[""L45.N2899"", ""L30.N1986"", ""L28.N1728"", ""L38.N1369"", ""L26.N2215"", ""L32.N1774"", ""L33.N1505"", ""L43.N3652"", ""L42.N2636"", ""L34.N3584"", ""L45.N3645"", ""L38.N1177"", ""L41.N2095""]",sadness,0.2275,0.5684,short_term,165.87,True
59,2025-10-01T09:50:00,learning_discovery,Trial_0059_learning_discovery,fear,"[""L34.N172"", ""L25.N2445"", ""L29.N551"", ""L41.N1039"", ""L44.N1372"", ""L35.N1226"", ""L29.N770"", ""L37.N2555"", ""L25.N479"", ""L34.N3413"", ""L26.N625""]",fear,0.4025,0.2025,short_term,326.32,True
60,2025-10-01T10:00:00,error_event,Trial_0060_error_event,fear,"[""L25.N1670"", ""L25.N3615"", ""L44.N2086"", ""L34.N938"", ""L37.N3970"", ""L37.N3999"", ""L34.N2531"", ""L40.N1519"", ""L26.N248"", ""L33.N372"", ""L38.N3879""]",fear,0.6965,0.7772,long_term,231.4,True
61,2025-10-01T10:10:00,autonomous_thought,Trial_0061_autonomous_thought,neutral,"[""L37.N2870"", ""L37.N3914"", ""L24.N995"", ""L29.N1813"", ""L45.N452"", ""L26.N2497"", ""L26.N3656"", ""L42.N50"", ""L40.N3985"", ""L34.N3851"", ""L26.N209"", ""L47.N3045"", ""L30.N3040""]",fear,0.3972,0.8697,long_term,584.87,False
62,2025-10-01T10:20:00,user_interaction,Trial_0062_user_interaction,neutral,"[""L46.N267"", ""L43.N1623"", ""L41.N3431"", ""L32.N1868"", ""L31.N181"", ""L33.N3280"", ""L30.N3344""]",neutral,0.3211,0.8873,long_term,78.45,True
63,2025-10-01T10:30:00,memory_recall,Trial_0063_memory_recall,disgust,"[""L42.N1184"", ""L44.N2164"", ""L33.N2612"", ""L37.N2092"", ""L32.N2021"", ""L29.N1842"", ""L44.N2281""]",disgust,0.4741,0.6605,long_term,516.99,True
64,2025-10-01T10:40:00,memory_recall,Trial_0064_memory_recall,joy,"[""L44.N529"", ""L41.N2304"", ""L37.N1159"", ""L25.N1842"", ""L38.N443"", ""L25.N3363"", ""L24.N1010"", ""L44.N2857""]",sadness,0.2272,0.2696,short_term,152.27,False
65,2025-10-01T10:50:00,task_completion,Trial_0065_task_completion,fear,"[""L30.N3997"", ""L30.N149"", ""L41.N2860"", ""L33.N1143"", ""L31.N2266"", ""L33.N3981"", ""L37.N3194"", ""L43.N2933""]",fear,0.4271,0.4859,short_term,214.85,True
66,2025-10-01T11:00:00,user_interaction,Trial_0066_user_interaction,surprise,"[""L43.N829"", ""L34.N3044"", ""L42.N1716"", ""L47.N55"", ""L25.N1045"", ""L27.N184"", ""L33.N1601""]",surprise,0.3433,0.2634,short_term,112.45,True
67,2025-10-01T11:10:00,learning_discovery,Trial_0067_learning_discovery,anger,"[""L33.N2348"", ""L24.N2017"", ""L26.N1928"", ""L28.N2921"", ""L33.N3723"", ""L41.N3641"", ""L44.N1428"", ""L24.N1154"", ""L28.N3416"", ""L40.N583"", ""L40.N1864"", ""L29.N3696"", ""L31.N1556"", ""L30.N1798"", ""L38.N998""]",anger,0.2983,0.517,short_term,491.79,True
68,2025-10-01T11:20:00,creative_output,Trial_0068_creative_output,disgust,"[""L41.N800"", ""L30.N130"", ""L37.N1963"", ""L37.N60"", ""L27.N1548"", ""L39.N3791"", ""L45.N2180"", ""L43.N4056"", ""L29.N3045"", ""L41.N37""]",disgust,0.4895,0.6462,long_term,91.34,True
69,2025-10-01T11:30:00,autonomous_thought,Trial_0069_autonomous_thought,neutral,"[""L36.N1963"", ""L42.N3289"", ""L46.N2614"", ""L24.N903"", ""L27.N84"", ""L45.N2674"", ""L44.N2873"", ""L28.N3120"", ""L26.N2834"", ""L24.N2076"", ""L46.N1568"", ""L46.N691"", ""L32.N3734""]",neutral,0.1752,0.1196,short_term,548.36,True
70,2025-10-01T11:40:00,conversation,Trial_0070_conversation,anger,"[""L28.N1663"", ""L36.N3289"", ""L34.N1671"", ""L31.N992"", ""L36.N1628"", ""L28.N1691"", ""L44.N3943"", ""L40.N1270"", ""L46.N2540""]",anger,0.0231,0.3244,short_term,563.6,True
71,2025-10-01T11:50:00,autonomous_thought,Trial_0071_autonomous_thought,joy,"[""L40.N2590"", ""L30.N1949"", ""L26.N1842"", ""L42.N3639"", ""L32.N9"", ""L37.N2609"", ""L38.N2009"", ""L24.N3037""]",joy,0.8843,0.9352,vital,230.59,True
72,2025-10-01T12:00:00,error_event,Trial_0072_error_event,joy,"[""L26.N2064"", ""L39.N2951"", ""L40.N3879"", ""L40.N3416"", ""L32.N907"", ""L42.N2147"", ""L44.N2485"", ""L34.N827"", ""L27.N845"", ""L37.N2341"", ""L40.N3905"", ""L31.N1315""]",joy,0.2671,0.15,short_term,106.56,True
73,2025-10-01T12:10:00,task_completion,Trial_0073_task_completion,joy,"[""L32.N2563"", ""L47.N2565"", ""L24.N510"", ""L30.N2432"", ""L42.N231"", ""L26.N64"", ""L24.N614"", ""L44.N2028"", ""L24.N1967"", ""L45.N2013"", ""L45.N2413"", ""L27.N1238"", ""L46.N427""]",joy,0.0889,0.1474,short_term,594.63,True
74,2025-10-01T12:20:00,conversation,Trial_0074_conversation,sadness,"[""L35.N1600"", ""L24.N3081"", ""L41.N3374"", ""L25.N1840"", ""L31.N1301"", ""L45.N1561"", ""L32.N2964"", ""L43.N958"", ""L34.N1413"", ""L47.N3597"", ""L24.N2118"", ""L47.N968"", ""L34.N3447"", ""L46.N2415"", ""L42.N3969"", ""L38.N3490"", ""L27.N1523""]",surprise,0.7872,0.1898,long_term,279.82,False
75,2025-10-01T12:30:00,autonomous_thought,Trial_0075_autonomous_thought,anger,"[""L29.N1208"", ""L45.N3693"", ""L26.N2288"", ""L34.N201"", ""L44.N3167"", ""L33.N489"", ""L26.N3959"", ""L38.N272"", ""L41.N3954"", ""L42.N3403"", ""L47.N452"", ""L47.N2394"", ""L39.N413"", ""L38.N430""]",anger,0.4338,0.6642,long_term,394.12,True
76,2025-10-01T12:40:00,autonomous_thought,Trial_0076_autonomous_thought,joy,"[""L45.N105"", ""L30.N1941"", ""L37.N1565"", ""L28.N2447"", ""L38.N388"", ""L26.N1558"", ""L33.N1028"", ""L46.N3534"", ""L41.N1560"", ""L31.N3038"", ""L44.N3585"", ""L45.N2887""]",anger,0.376,0.8008,long_term,402.8,False
